hotspot_number,lsg_code,label,label_malayalam,locality,district,type,status,listed_on,unlisted_on,last_updated_on,notes,reference,latitude,longitude
1,G021003,Chathannoor,ചാത്തന്നൂര്‍,Chathannoor,Kollam,Panchayat,Unlisted,2020-04-26,2020-05-07,2020-05-07,,DHS bulletin from Listed On Date,,
2,G020201,Sasthamcotta,ശാസ്താംകോട്ട,Sasthamcotta,Kollam,Panchayat,Unlisted,2020-04-26,2020-05-07,2020-05-07,,DHS bulletin from Listed On Date,,
3,G050708,Manarkkad,മണര്‍കാട്,Manarkkad,Kottayam,Panchayat,Unlisted,2020-04-26,2020-05-14,2020-05-14,Containment Zone: Whole LSG,DHS bulletin from Listed On Date,,
4,C070100,Kochi,കൊച്ചി,Kochi,Ernakulam,Corporation,Unlisted,2020-04-22,2020-05-07,2020-04-27,,DHS bulletin from Listed On Date,,
5,G060501,Idukki Kanjikuzhi,ഇടുക്കി കഞ്ഞിക്കുഴി,Idukki Kanjikuzhi,Idukki,Panchayat,Unlisted,2020-04-22,2020-04-30,2020-04-30,,DHS bulletin from Listed On Date,,
6,G060805,Elappara,ഏലപ്പാറ,Elappara,Idukki,Panchayat,Unlisted,2020-04-24,2020-05-14,2020-05-14,"Containment Zones: Wards 11, 12, 13",DHS bulletin from Listed On Date,,
7,G060505,Vazhathope,വാഴത്തോപ്പ്,Vazhathope,Idukki,Panchayat,Unlisted,2020-04-24,2020-05-07,2020-05-06,"Containment Zone: Wards 8, 14",DHS bulletin from Listed On Date,,
8,M060100,Thodupuzha,തൊടുപുഴ,Thodupuzha,Idukki,Municipality,Unlisted,2020-04-22,2020-04-30,2020-04-30,,DHS bulletin from Listed On Date,,
9,G060305,Nedumkandam,നെടുങ്കണ്ടം,Nedumkandam,Idukki,Panchayat,Unlisted,2020-04-24,2020-05-07,2020-05-06,"Containment Zones: Wards 9, 10, 11",DHS bulletin from Listed On Date,,
10,G060103,Bisonvally,ബൈസണ്‍ വാലി,Bisonvally,Idukki,Panchayat,Unlisted,2020-04-22,2020-04-30,2020-04-30,,DHS bulletin from Listed On Date,,
11,G060506,Mariyapuram,മരിയാപുരം,Mariyapuram,Idukki,Panchayat,Unlisted,2020-04-22,2020-04-30,2020-04-30,,DHS bulletin from Listed On Date,,
